UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
3699,H33112,H,302.2,311.3,1758,26.4,4,0,No Failure
4372,L51551,L,302.0,309.8,1480,40.0,199,0,No Failure
4843,M19702,M,303.3,311.8,1489,49.4,64,0,No Failure
4116,H33529,H,302.0,310.6,1346,54.7,196,0,No Failure
6289,L53468,L,301.0,310.5,1317,50.9,75,0,No Failure
8943,L56122,L,297.3,308.3,2188,17.0,32,0,No Failure
7543,M22402,M,300.4,311.6,1401,49.9,79,0,No Failure
3783,L50962,L,302.2,310.8,1827,23.8,9,0,No Failure
7789,M22648,M,300.2,311.5,1547,40.9,66,0,No Failure
7082,L54261,L,300.7,310.4,1366,52.6,205,0,No Failure
3260,M18119,M,301.2,310.0,1625,31.6,173,0,No Failure
9645,L56824,L,299.3,310.4,1629,32.6,177,0,No Failure
9407,M24266,M,297.7,308.1,2189,15.6,186,0,No Failure
2333,L49512,L,299.2,308.5,1378,50.4,220,1,Overstrain Failure
9920,L57099,L,298.5,308.8,1305,58.7,26,0,No Failure
3422,M18281,M,301.5,310.5,1612,29.8,148,0,No Failure
43,M14902,M,298.8,309.1,1368,49.1,117,0,No Failure
6992,L54171,L,300.8,311.1,1509,33.4,172,0,No Failure
6376,H35789,H,300.0,309.6,1629,32.3,89,0,No Failure
2265,M17124,M,299.2,308.4,1415,43.5,53,0,No Failure
3811,M18670,M,302.2,310.8,1562,38.1,78,0,No Failure
5785,M20644,M,301.8,311.1,1399,41.8,125,0,No Failure
9952,L57131,L,298.2,307.8,1355,59.4,115,0,No Failure
629,M15488,M,298.4,310.1,1335,57.8,96,0,No Failure
8505,L55684,L,298.4,309.7,1419,41.3,159,0,No Failure
7484,L54663,L,300.2,311.6,1671,28.8,149,0,No Failure
4546,L51725,L,302.5,310.5,1463,43.0,189,0,No Failure
8279,L55458,L,298.8,310.5,1464,46.4,207,0,No Failure
3980,L51159,L,302.3,311.3,1439,41.8,96,0,No Failure
3190,L50369,L,300.1,309.1,1551,33.7,214,0,No Failure
9955,M24814,M,298.1,307.9,1446,42.8,121,0,No Failure
9086,H38499,H,297.1,307.9,1365,54.0,174,0,No Failure
169,L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure
6696,M21555,M,301.7,311.0,1311,55.8,39,0,No Failure
8516,L55695,L,298.2,309.4,1443,45.4,187,0,No Failure
4366,L51545,L,302.0,310.0,1449,48.8,181,0,No Failure
4467,L51646,L,302.8,310.6,1470,41.1,205,0,No Failure
5843,L53022,L,301.4,311.2,1355,50.6,37,0,No Failure
1036,L48215,L,296.4,307.4,1403,48.4,70,0,No Failure
2618,L49797,L,299.4,309.1,1670,35.9,68,0,No Failure
6512,M21371,M,301.2,310.1,2280,15.7,11,0,No Failure
9943,L57122,L,298.4,308.1,1375,50.8,94,0,No Failure
4156,L51335,L,302.0,310.5,1370,44.4,85,1,Heat Dissipation Failure
36,M14895,M,298.8,309.2,1452,48.6,98,0,No Failure
707,M15566,M,297.8,309.0,1434,43.3,96,0,No Failure
7395,L54574,L,299.7,310.6,1479,38.0,137,0,No Failure
8146,M23005,M,299.7,310.9,1685,32.1,88,0,No Failure
9626,M24485,M,299.0,310.1,1487,47.5,123,0,No Failure
9464,M24323,M,298.5,309.3,1552,36.8,133,0,No Failure
3657,M18516,M,302.1,311.5,1383,53.6,108,0,No Failure
4201,L51380,L,302.5,311.1,1571,34.2,201,0,No Failure
6429,M21288,M,300.2,309.8,1743,24.1,18,0,No Failure
8387,M23246,M,298.9,309.9,1501,37.1,70,0,No Failure
6052,L53231,L,300.9,311.0,1382,51.2,136,0,No Failure
6776,L53955,L,301.2,310.6,1670,30.0,40,0,No Failure
4093,H33506,H,302.0,310.5,1812,24.4,138,0,No Failure
8762,L55941,L,297.5,308.8,1417,49.8,177,0,No Failure
9683,L56862,L,299.1,310.0,1394,46.6,27,0,No Failure
4280,L51459,L,302.0,310.1,1361,45.4,174,1,Heat Dissipation Failure
5590,M20449,M,302.5,311.9,1298,57.5,57,0,No Failure
4636,M19495,M,303.0,311.2,1614,35.7,207,0,No Failure
5954,M20813,M,300.7,310.9,1486,38.9,106,0,No Failure
2222,L49401,L,299.6,309.0,1372,60.4,149,0,No Failure
8026,M22885,M,300.8,312.0,1422,50.7,219,0,No Failure
6521,M21380,M,301.2,310.1,1666,34.9,37,0,No Failure
9663,M24522,M,299.1,310.1,1570,30.9,226,0,No Failure
4119,L51298,L,302.0,310.6,1366,47.7,206,0,No Failure
8403,L55582,L,298.5,309.5,1370,52.4,113,0,No Failure
2141,L49320,L,299.3,309.0,1419,46.6,158,0,No Failure
9106,M23965,M,297.3,308.2,1677,34.9,21,0,No Failure
6831,M21690,M,301.0,310.9,1359,53.4,180,0,No Failure
1283,L48462,L,298.3,309.4,1546,36.1,94,0,No Failure
1094,M15953,M,296.8,307.5,1443,39.2,13,0,No Failure
579,L47758,L,297.8,309.8,1533,36.8,198,0,No Failure
1712,L48891,L,298.2,307.8,1355,51.3,70,0,No Failure
4693,M19552,M,303.4,311.4,1606,29.6,122,0,No Failure
8587,H38000,H,297.3,307.9,1461,37.5,161,0,No Failure
5298,L52477,L,303.7,313.1,1406,48.6,183,0,No Failure
1540,M16399,M,298.5,309.2,1449,46.4,83,0,No Failure
4826,L52005,L,303.3,311.8,1692,30.6,18,0,No Failure
9074,L56253,L,297.2,308.1,1689,31.2,145,0,No Failure
1737,L48916,L,298.4,307.9,1544,35.9,132,0,No Failure
1746,L48925,L,298.5,308.0,1624,29.8,160,0,No Failure
2015,L49194,L,298.6,308.4,1310,59.7,40,0,No Failure
3562,L50741,L,301.7,310.6,1486,38.5,78,0,No Failure
1281,H30694,H,298.3,309.5,1521,37.1,84,0,No Failure
307,L47486,L,297.8,308.4,1374,47.1,150,0,No Failure
745,L47924,L,296.7,308.1,1450,40.9,195,0,No Failure
5327,M20186,M,303.5,312.7,1420,49.1,42,0,No Failure
9161,H38574,H,297.5,308.5,1671,28.0,158,0,No Failure
6541,M21400,M,301.4,310.7,1368,63.7,92,1,Power Failure
3389,M18248,M,301.7,310.9,1435,48.0,66,0,No Failure
2448,L49627,L,299.3,308.7,1408,48.7,85,0,No Failure
1347,L48526,L,298.6,310.1,1533,33.9,24,0,No Failure
9857,L57036,L,298.6,309.5,1450,44.2,63,0,No Failure
885,L48064,L,295.8,306.4,1356,48.0,99,0,No Failure
7683,M22542,M,300.7,311.7,1412,49.1,219,0,No Failure
7582,M22441,M,300.4,311.2,1366,56.1,177,0,No Failure
1321,M16180,M,299.0,310.3,1540,38.1,182,0,No Failure
4130,M18989,M,301.8,310.3,1666,32.7,19,0,No Failure
2457,L49636,L,299.1,308.6,1555,36.6,104,0,No Failure
6598,L53777,L,301.5,310.6,1481,46.8,20,0,No Failure
6846,M21705,M,301.3,311.5,1648,32.4,0,0,No Failure
3049,L50228,L,300.2,309.3,1532,43.2,53,0,No Failure
2537,L49716,L,298.9,308.8,1281,53.9,77,0,No Failure
7418,M22277,M,300.1,311.3,1495,41.0,193,0,No Failure
6687,L53866,L,301.7,311.0,1715,24.8,17,0,No Failure
4162,H33575,H,301.9,310.3,1653,32.4,100,0,No Failure
8760,M23619,M,297.5,308.7,1352,53.0,171,0,No Failure
6116,L53295,L,300.8,310.9,1457,47.7,82,0,No Failure
7241,M22100,M,299.9,310.1,1362,56.3,179,0,No Failure
5550,H34963,H,302.3,311.9,1374,52.4,154,0,No Failure
7664,L54843,L,300.5,311.6,1385,54.8,173,0,No Failure
954,L48133,L,295.5,306.1,1650,32.8,67,0,No Failure
3219,L50398,L,300.6,309.6,1426,53.6,66,0,No Failure
6216,L53395,L,301.1,310.8,1521,41.0,99,0,No Failure
748,L47927,L,296.8,308.1,1356,48.3,201,0,No Failure
9114,L56293,L,297.6,308.6,1744,28.5,42,0,No Failure
2813,M17672,M,300.0,309.3,1413,40.7,117,0,No Failure
5723,L52902,L,302.2,311.7,1488,44.6,178,0,No Failure
8349,M23208,M,298.7,309.6,1452,42.7,180,0,No Failure
788,L47967,L,296.9,308.1,1435,45.3,62,0,No Failure
4967,L52146,L,303.8,312.6,1793,28.1,170,0,No Failure
2056,L49235,L,299.6,309.4,1643,32.9,145,0,No Failure
1201,M16060,M,296.9,308.0,1430,55.9,71,0,No Failure
8378,L55557,L,298.8,309.7,1336,50.3,44,0,No Failure
8118,L55297,L,300.3,311.7,1406,47.5,14,0,No Failure
1097,L48276,L,297.0,307.6,1680,35.8,20,0,No Failure
7280,L54459,L,300.0,310.1,1465,40.9,60,0,No Failure
651,L47830,L,297.6,309.2,1611,33.1,155,0,No Failure
4019,M18878,M,302.0,310.8,1783,23.1,190,0,No Failure
7596,H37009,H,300.5,311.2,1397,45.2,2,0,No Failure
5628,L52807,L,302.7,312.1,1597,39.8,153,0,No Failure
4653,L51832,L,303.1,311.2,1452,52.9,11,0,No Failure
3417,L50596,L,301.5,310.5,1435,44.6,135,0,No Failure
481,L47660,L,297.4,309.0,1583,32.0,166,0,No Failure
9320,L56499,L,298.5,309.4,1911,21.5,164,0,No Failure
2498,M17357,M,299.2,308.9,1521,42.3,215,0,No Failure
798,L47977,L,296.8,307.7,1565,40.1,89,0,No Failure
3337,L50516,L,301.6,310.8,1535,35.4,148,0,No Failure
4229,L51408,L,302.2,310.8,2203,16.6,47,0,No Failure
6363,L53542,L,300.0,309.6,1738,28.7,51,0,No Failure
8376,M23235,M,298.8,309.6,1384,48.2,39,0,No Failure
5309,L52488,L,304.0,313.2,1481,42.6,213,0,No Failure
1960,M16819,M,297.8,307.6,1352,49.4,102,0,No Failure
7782,L54961,L,300.4,311.7,1513,40.0,51,0,No Failure
4373,M19232,M,301.9,309.6,1439,41.7,201,0,No Failure
8196,L55375,L,299.4,310.8,1376,53.9,215,1,Overstrain Failure
290,L47469,L,298.1,308.4,1436,46.7,103,0,No Failure
2617,L49796,L,299.4,309.1,1207,66.5,66,0,No Failure
2577,L49756,L,299.5,309.3,1523,41.5,181,0,No Failure
7518,L54697,L,300.3,311.7,1445,47.3,15,0,No Failure
498,L47677,L,297.4,309.0,1505,39.2,209,0,No Failure
1130,L48309,L,296.7,307.9,1690,29.6,119,0,No Failure
5457,M20316,M,303.1,312.6,1567,32.9,132,0,No Failure
6320,L53499,L,300.8,310.2,1514,40.0,155,0,No Failure
7933,L55112,L,300.7,311.8,1478,41.9,207,0,No Failure
5153,L52332,L,304.3,313.5,2643,12.7,21,0,No Failure
2306,H31719,H,299.2,308.5,1342,47.5,147,0,No Failure
4710,M19569,M,303.4,311.6,1446,50.0,163,0,No Failure
841,L48020,L,296.6,307.5,1582,37.9,197,0,No Failure
3391,H32804,H,301.5,310.7,1599,40.4,72,0,No Failure
5994,M20853,M,300.7,310.6,1407,42.4,218,0,No Failure
1275,H30688,H,298.1,309.5,1530,40.2,65,0,No Failure
9025,L56204,L,297.4,308.3,1366,45.5,11,0,No Failure
3694,L50873,L,302.1,311.3,1521,31.5,202,0,No Failure
7408,H36821,H,299.8,310.9,1427,47.2,168,0,No Failure
9302,M24161,M,298.1,308.9,1459,50.3,115,0,No Failure
2301,L49480,L,299.3,308.6,1371,50.5,136,0,No Failure
8358,L55537,L,298.5,309.5,1385,46.3,203,1,Tool Wear Failure
8415,L55594,L,298.6,309.8,1842,20.1,142,0,No Failure
56,L47235,L,298.8,309.1,1512,40.7,156,0,No Failure
5444,M20303,M,303.0,312.7,1426,46.8,99,0,No Failure
1108,M15967,M,296.7,307.5,1515,42.1,55,0,No Failure
4854,L52033,L,303.7,312.2,1487,34.0,94,0,No Failure
6092,L53271,L,300.9,310.7,1412,57.5,16,0,Random Failures
4931,L52110,L,303.4,312.3,1663,33.9,78,0,No Failure
5038,M19897,M,304.1,313.2,1586,41.1,129,0,No Failure
1037,M15896,M,296.4,307.5,1684,31.4,72,0,No Failure
6285,M21144,M,301.2,310.8,1734,31.3,64,0,No Failure
6868,L54047,L,301.0,311.3,1342,50.9,60,0,No Failure
9548,L56727,L,299.6,311.1,1679,30.7,129,0,No Failure
5826,L53005,L,301.3,311.1,1413,42.0,221,0,No Failure
8077,L55256,L,300.3,311.8,1360,48.0,119,0,No Failure
8,L47187,L,298.1,308.6,1527,40.2,16,0,No Failure
1093,M15952,M,296.9,307.6,1685,32.0,10,0,No Failure
3816,L50995,L,302.2,310.7,1769,24.9,91,0,No Failure
7252,M22111,M,300.2,310.3,1448,40.1,209,0,No Failure
3933,L51112,L,302.6,311.6,1953,22.4,180,0,No Failure
2564,L49743,L,299.3,309.1,1496,37.2,149,0,No Failure
4909,M19768,M,303.6,312.5,1459,48.2,17,0,No Failure
708,L47887,L,297.7,308.9,1838,27.3,99,0,No Failure
6751,M21610,M,301.7,311.0,1505,44.0,187,0,No Failure
8960,L56139,L,297.3,308.0,1420,46.5,73,0,No Failure
8747,L55926,L,297.3,308.5,1528,44.5,140,0,No Failure
3463,H32876,H,301.6,310.5,1786,27.1,35,0,No Failure
4543,M19402,M,302.5,310.4,1581,32.7,181,0,No Failure
6153,M21012,M,301.1,311.1,1592,35.7,174,0,No Failure
6020,L53199,L,300.7,310.8,1519,43.9,55,0,No Failure
5966,H35379,H,300.5,310.9,1447,46.5,137,0,No Failure
8528,L55707,L,298.4,309.3,1531,37.4,16,0,No Failure
542,L47721,L,297.4,309.4,1296,52.3,96,0,No Failure
8663,L55842,L,297.5,308.6,1514,36.9,134,0,No Failure
3642,L50821,L,302.3,311.6,1488,41.8,75,0,No Failure
6191,L53370,L,300.9,310.9,1749,26.4,40,0,No Failure
4036,L51215,L,302.0,310.8,1454,36.6,0,0,No Failure
1620,L48799,L,297.9,307.7,1590,34.6,57,0,No Failure
120,L47299,L,298.7,308.5,1467,40.7,106,0,No Failure
653,L47832,L,297.7,309.2,1391,44.5,159,0,No Failure
6299,L53478,L,301.1,310.5,1428,44.1,103,0,No Failure
2208,L49387,L,299.8,309.2,1591,37.5,109,0,No Failure
4462,L51641,L,302.7,310.5,1642,30.8,195,0,No Failure
975,L48154,L,296.0,306.6,1511,35.2,119,0,No Failure
2274,L49453,L,299.3,308.5,1589,32.7,74,0,No Failure
867,L48046,L,295.9,306.6,1678,26.7,53,0,No Failure
2901,L50080,L,300.5,309.3,1574,33.5,101,0,No Failure
5355,L52534,L,303.4,312.6,1462,37.5,118,0,No Failure
3010,M17869,M,300.4,309.7,1466,39.8,184,0,No Failure
2350,M17209,M,299.3,308.5,1386,42.2,30,0,No Failure
4436,L51615,L,302.3,310.1,1321,52.7,134,1,Heat Dissipation Failure
7613,M22472,M,300.5,311.4,1743,27.6,46,0,No Failure
861,H30274,H,296.1,306.9,1541,32.6,33,0,No Failure
3603,M18462,M,301.7,310.6,1417,45.2,185,0,No Failure
8175,L55354,L,299.9,311.3,1371,52.3,167,0,No Failure
6175,L53354,L,300.9,310.7,1573,31.2,2,0,No Failure
7272,M22131,M,300.3,310.4,1293,49.7,37,0,No Failure
599,L47778,L,297.7,309.6,1480,47.9,18,0,No Failure
4630,L51809,L,303.0,311.2,1735,26.1,194,0,No Failure
7124,M21983,M,300.9,310.4,1576,40.4,92,0,No Failure
7403,M22262,M,299.8,310.8,1463,43.5,156,0,No Failure
6793,L53972,L,301.2,310.6,1811,24.0,84,0,No Failure
9313,H38726,H,298.5,309.4,1573,33.6,143,0,No Failure
9458,M24317,M,298.5,309.3,1692,26.7,118,0,No Failure
211,L47390,L,298.4,308.7,1523,36.1,126,0,No Failure
845,L48024,L,296.5,307.5,1566,35.1,206,0,No Failure
4989,L52168,L,303.8,313.1,2497,13.0,5,1,Power Failure
1592,L48771,L,298.2,308.4,1355,49.4,209,0,No Failure
8631,L55810,L,297.4,308.4,1371,57.4,52,0,No Failure
742,L47921,L,296.9,308.3,1513,38.8,189,0,No Failure
8968,L56147,L,297.1,307.8,1536,40.4,92,0,No Failure
4379,M19238,M,301.9,309.6,1385,45.8,217,0,No Failure
3352,L50531,L,301.4,310.8,1680,31.4,185,0,No Failure
2730,L49909,L,299.7,309.3,1417,54.6,131,0,No Failure
8012,L55191,L,300.8,311.8,1427,43.3,180,0,No Failure
4432,H33845,H,302.3,310.2,1443,54.6,120,0,No Failure
6241,M21100,M,301.2,310.7,1394,42.8,168,0,No Failure
9740,L56919,L,298.9,310.0,1515,42.9,170,0,No Failure
8476,M23335,M,298.5,309.7,1557,37.7,86,0,No Failure
7538,L54717,L,300.1,311.3,1305,64.7,66,0,No Failure
824,M15683,M,296.6,307.5,1482,39.9,153,0,No Failure
2493,H31906,H,299.0,308.8,1382,58.5,199,0,No Failure
2674,L49853,L,299.8,309.4,1480,40.9,2,0,No Failure
77,L47256,L,298.8,308.9,1461,47.9,206,0,No Failure
3071,L50250,L,300.0,309.1,1631,28.3,110,0,No Failure
5087,L52266,L,304.0,313.0,1541,45.9,64,0,No Failure
3624,M18483,M,302.0,311.3,1530,36.4,27,0,No Failure
4182,M19041,M,302.4,310.7,1521,40.4,152,0,No Failure
9766,L56945,L,298.6,309.6,1472,39.1,14,0,No Failure
8987,M23846,M,297.1,307.8,1443,43.9,137,0,No Failure
7574,L54753,L,300.3,311.1,1605,37.1,160,0,No Failure
5857,H35270,H,301.2,310.9,1598,35.9,71,0,No Failure
7947,L55126,L,300.8,311.6,1516,35.6,14,0,No Failure
736,L47915,L,296.9,308.4,1557,32.4,173,0,No Failure
2748,L49927,L,299.7,309.2,1616,31.6,175,0,No Failure
129,L47308,L,299.0,308.6,1587,38.6,124,0,No Failure
7324,L54503,L,299.9,310.2,1479,46.3,173,0,No Failure
8609,L55788,L,297.4,308.4,1369,50.6,220,1,Overstrain Failure
649,H30062,H,297.7,309.3,1400,48.9,147,0,No Failure
5917,L53096,L,300.6,310.2,1555,41.9,19,0,No Failure
7798,L54977,L,300.0,311.4,1476,39.0,92,0,No Failure
2566,L49745,L,299.4,309.1,1304,50.5,153,0,No Failure
7298,L54477,L,300.1,310.5,1500,39.8,107,0,No Failure
427,L47606,L,297.4,308.5,1501,44.9,20,0,No Failure
5438,M20297,M,302.9,312.6,1394,46.4,82,0,No Failure
5294,M20153,M,303.9,313.4,1464,49.1,171,0,No Failure
273,L47452,L,298.1,308.1,1484,40.4,59,0,No Failure
1241,L48420,L,297.2,308.6,1636,31.3,192,0,No Failure
4646,L51825,L,303.3,311.4,1732,25.6,232,0,No Failure
4246,M19105,M,302.6,311.1,1520,43.0,88,0,No Failure
3359,L50538,L,301.5,310.6,1522,36.6,202,0,No Failure
9651,M24510,M,299.1,310.0,1437,41.1,192,0,No Failure
2437,H31850,H,299.0,308.2,1662,30.4,55,0,No Failure
3724,L50903,L,302.3,311.2,1758,24.4,68,0,No Failure
4833,L52012,L,303.5,312.0,1436,45.1,32,0,No Failure
4877,M19736,M,303.7,312.4,1540,37.4,146,0,No Failure
7423,L54602,L,300.0,311.2,1351,44.1,206,0,No Failure
2355,L49534,L,299.3,308.6,1433,37.7,42,0,No Failure
3981,M18840,M,302.2,311.3,1375,47.0,98,0,No Failure
3026,L50205,L,300.5,309.6,1366,50.2,219,0,No Failure
843,M15702,M,296.6,307.5,1566,35.0,201,0,No Failure
4699,L51878,L,303.4,311.6,1564,41.9,137,0,No Failure
4041,L51220,L,302.0,310.8,1767,27.4,11,0,No Failure
9976,M24835,M,298.6,308.3,1589,34.1,174,0,No Failure
5248,L52427,L,303.6,313.1,1405,38.3,58,0,No Failure
6791,M21650,M,301.1,310.7,2219,16.7,79,0,No Failure
2916,L50095,L,300.5,309.5,1255,62.1,138,0,No Failure
3698,L50877,L,302.2,311.2,1928,23.1,2,0,No Failure
3688,M18547,M,302.0,311.2,1625,30.7,189,0,No Failure
9513,L56692,L,299.0,310.2,1575,37.8,42,0,No Failure
2848,L50027,L,300.4,309.3,1525,39.6,202,0,No Failure
10,M14869,M,298.5,309.0,1741,28.0,21,0,No Failure
1182,L48361,L,297.2,308.3,1379,52.1,21,0,No Failure
7985,L55164,L,301.0,312.3,1550,34.9,111,0,No Failure
2426,L49605,L,298.8,308.1,1472,53.5,28,0,No Failure
8359,L55538,L,298.7,309.7,1547,37.4,0,0,No Failure
7514,L54693,L,300.4,311.8,2261,14.9,5,0,No Failure
298,L47477,L,298.0,308.5,1713,25.3,124,0,No Failure
3684,M18543,M,302.0,311.2,1558,39.1,179,0,No Failure
5787,L52966,L,301.7,311.2,1521,36.7,130,0,No Failure
8915,M23774,M,297.3,308.5,1524,49.3,176,0,No Failure
8862,L56041,L,297.9,309.1,1619,34.7,33,0,No Failure
4747,L51926,L,303.2,311.2,1427,45.6,25,0,No Failure
6617,M21476,M,301.7,310.6,1380,45.8,70,0,No Failure
164,M15023,M,298.4,308.2,1468,43.8,2,0,No Failure
4460,L51639,L,302.6,310.4,1743,26.3,191,0,No Failure
3623,L50802,L,302.0,311.3,1509,39.9,25,0,No Failure
8681,L55860,L,297.2,308.5,1494,39.6,181,0,No Failure
6758,L53937,L,301.8,311.2,1822,26.2,204,0,No Failure
6735,M21594,M,301.6,310.9,1575,40.1,139,0,No Failure
2343,M17202,M,299.2,308.2,1674,28.2,14,0,No Failure
4922,L52101,L,303.4,312.3,1287,54.8,54,0,No Failure
9262,H38675,H,298.3,309.0,1470,38.4,10,0,No Failure
5215,L52394,L,303.7,312.7,1572,37.2,192,0,No Failure
4419,L51598,L,302.6,310.3,1642,33.2,82,0,No Failure
2703,L49882,L,299.8,309.2,1760,25.9,63,0,No Failure
8444,M23303,M,298.6,309.9,1668,32.3,6,0,No Failure
9263,M24122,M,298.3,309.1,1404,47.0,15,0,No Failure
9195,L56374,L,297.9,308.9,1393,40.6,45,0,No Failure
5807,L52986,L,301.4,310.9,1440,45.4,177,0,No Failure
2203,M17062,M,299.9,309.2,1548,35.7,97,0,No Failure
9743,L56922,L,298.9,310.2,1623,37.2,177,0,No Failure
6954,L54133,L,300.8,311.3,1462,41.4,75,0,No Failure
6229,L53408,L,301.2,310.9,1413,50.1,141,0,No Failure
3542,L50721,L,301.8,310.8,1546,43.4,29,0,No Failure
6,M14865,M,298.1,308.6,1425,41.9,11,0,No Failure
6853,H36266,H,301.0,311.2,1602,32.7,19,0,No Failure
5223,L52402,L,303.9,313.1,1665,29.6,0,0,No Failure
9557,L56736,L,299.5,310.8,1374,48.3,154,0,No Failure
2734,L49913,L,299.7,309.2,1422,40.4,140,0,No Failure
1939,L49118,L,298.1,307.9,1517,40.8,50,0,No Failure
531,M15390,M,297.6,309.5,1709,32.2,65,0,No Failure
4593,L51772,L,302.9,311.1,1555,33.9,96,0,No Failure
8129,L55308,L,300.1,311.4,1629,31.3,41,0,No Failure
9542,M24401,M,299.5,310.8,1754,31.3,114,0,No Failure
4493,M19352,M,302.6,310.5,1420,56.4,57,0,No Failure
21,H29434,H,298.9,309.3,1375,42.7,58,0,No Failure
4345,H33758,H,301.8,309.9,1418,51.3,116,0,No Failure
540,M15399,M,297.4,309.3,1775,25.8,91,0,No Failure
2873,L50052,L,300.8,309.6,1680,28.7,22,0,No Failure
4418,L51597,L,302.6,310.4,1365,66.8,80,1,Power Failure
616,L47795,L,298.1,309.9,1642,30.4,58,0,No Failure
2254,L49433,L,299.2,308.4,1386,54.1,26,0,No Failure
8914,M23773,M,297.2,308.5,1487,46.9,173,0,No Failure
4641,L51820,L,303.1,311.2,1435,40.1,219,0,No Failure
7632,L54811,L,300.5,311.6,1444,49.3,92,0,No Failure
476,L47655,L,297.4,309.1,1380,41.1,152,0,No Failure
1614,L48793,L,297.9,308.0,1296,62.9,41,0,No Failure
1184,L48363,L,297.3,308.4,1513,40.5,25,0,No Failure
9182,L56361,L,297.9,309.1,1521,36.1,15,0,No Failure
3529,L50708,L,302.0,310.9,1378,53.1,212,1,Overstrain Failure
2929,M17788,M,300.8,309.7,1258,54.9,168,0,No Failure
1346,L48525,L,298.5,310.0,1804,26.1,22,0,No Failure
9271,L56450,L,298.2,308.8,1302,60.4,34,0,No Failure
2,L47181,L,298.2,308.7,1408,46.3,3,0,No Failure
974,L48153,L,295.9,306.6,1679,30.4,117,0,No Failure
8705,L55884,L,297.1,308.5,1425,40.0,35,0,No Failure
9108,M23967,M,297.5,308.5,1662,30.3,26,0,No Failure
5456,M20315,M,303.1,312.6,1895,23.5,129,0,No Failure
6531,H35944,H,301.3,310.6,1605,32.5,59,0,No Failure
3726,H33139,H,302.3,311.1,1543,37.5,73,0,No Failure
6447,M21306,M,300.7,310.3,1471,40.2,59,0,No Failure
519,L47698,L,297.6,309.5,1924,20.6,37,0,No Failure
1056,L48235,L,296.8,307.8,1480,39.4,122,0,No Failure
9641,L56820,L,299.4,310.5,1514,36.1,169,0,No Failure
3056,L50235,L,300.1,309.2,1427,37.6,73,0,No Failure
3519,L50698,L,301.9,311.0,1376,44.9,186,0,No Failure
213,H29626,H,298.4,308.7,1344,52.9,130,0,No Failure
3838,L51017,L,302.4,311.2,1450,47.9,154,0,No Failure
5597,M20456,M,302.7,312.0,1538,36.7,74,0,No Failure
